,Precision,Recall
0,0.7421636085626911,1.0
1,0.7423054865226534,1.0
2,0.7424474187380498,1.0
3,0.7425894052400076,1.0
4,0.7427314460596787,1.0
5,0.742873541228238,1.0
6,0.7430156907768848,1.0
7,0.7431578947368421,1.0
8,0.7433001531393568,1.0
9,0.7434424660156997,1.0
10,0.7435848333971659,1.0
11,0.7437272553150738,1.0
12,0.7438697318007663,1.0
13,0.7440122628856103,1.0
14,0.7441548486009966,1.0
15,0.74429748897834,1.0
16,0.7444401840490797,1.0
17,0.7445829338446788,1.0
18,0.7447257383966245,1.0
19,0.7448685977364281,1.0
20,0.7450115118956255,1.0
21,0.7451544809057763,1.0
22,0.7452975047984645,1.0
23,0.7454405836052985,1.0
24,0.745583717357911,1.0
25,0.7457269060879586,1.0
26,0.7458701498271225,1.0
27,0.7460134486071085,1.0
28,0.7461568024596464,1.0
29,0.7463002114164905,1.0
30,0.7464436755094195,1.0
31,0.7465871947702365,1.0
32,0.7467307692307692,1.0
33,0.7468743989228698,1.0
34,0.7470180838784147,1.0
35,0.7471618241293053,1.0
36,0.7473056197074672,1.0
37,0.7474494706448508,1.0
38,0.7475933769734309,1.0
39,0.747737338725207,1.0
40,0.7478813559322034,1.0
41,0.7480254286264689,1.0
42,0.748169556840077,1.0
43,0.7483137406051262,1.0
44,0.7484579799537394,1.0
45,0.7486022749180644,1.0
46,0.7487466255302738,1.0
47,0.7488910318225651,1.0
48,0.7490354938271605,1.0
49,0.7491800115763072,1.0
50,0.7493245851022771,1.0
51,0.7494692144373672,1.0
52,0.7496138996138996,1.0
53,0.7497586406642209,1.0
54,0.749903437620703,1.0
55,0.7500482905157427,1.0
56,0.750193199381762,1.0
57,0.7503381642512077,1.0
58,0.750483185156552,1.0
59,0.7506282621302919,1.0
60,0.7507733952049497,1.0
61,0.7509185844130729,1.0
62,0.7510638297872341,1.0
63,0.751209131360031,1.0
64,0.7513544891640866,1.0
65,0.7514999032320495,1.0
66,0.7516453735965931,1.0
67,0.7517909002904163,1.0
68,0.7519364833462432,1.0
69,0.7520821227968235,1.0
70,0.7522278186749322,1.0
71,0.7523735710133695,1.0
72,0.7525193798449612,1.0
73,0.7526652452025586,1.0
74,0.7528111671190384,1.0
75,0.7529571456273026,1.0
76,0.7531031807602793,1.0
77,0.7532492725509214,1.0
78,0.753395421032208,1.0
79,0.7535416262371434,1.0
80,0.7536878881987578,1.0
81,0.7538342069501067,1.0
82,0.7539805825242718,1.0
83,0.7541270149543601,1.0
84,0.7542735042735043,1.0
85,0.754420050514863,1.0
86,0.7545666537116207,1.0
87,0.7547133138969874,1.0
88,0.7548600311041991,1.0
89,0.7550068053665175,1.0
90,0.7551536367172307,1.0
91,0.7553005251896519,1.0
92,0.7554474708171206,1.0
93,0.7555944736330026,1.0
94,0.755741533670689,1.0
95,0.7558886509635975,1.0
96,0.7560358255451713,1.0
97,0.7561830574488803,1.0
98,0.7563303467082197,1.0
99,0.7564776933567114,1.0
100,0.7566250974279034,1.0
101,0.7567725589553693,1.0
102,0.7569200779727095,1.0
103,0.7570676545135504,1.0
104,0.7572152886115444,1.0
105,0.7573629803003706,1.0
106,0.7575107296137339,1.0
