,FPR,TPR
0,0.0,0.0
1,0.0,0.0002575328354365182
2,0.0,0.0005150656708730364
3,0.0,0.0020602626834921455
4,0.0,0.003090394025238218
5,0.0,0.004120525366984291
6,0.0,0.004893123873293845
7,0.0,0.005408189544166882
8,0.0,0.006180788050476436
9,0.0,0.008241050733968582
10,0.0,0.0084985835694051
11,0.0,0.009013649240278136
12,0.0,0.010043780582024209
13,0.0,0.010558846252897245
14,0.0,0.0113314447592068
15,0.0,0.012361576100952872
16,0.0,0.01261910893638939
17,0.0,0.013391707442698944
18,0.0,0.014421838784445017
19,0.0,0.015194437290754571
20,0.0,0.01545197012619109
21,0.0,0.015967035797064124
22,0.0,0.016224568632500644
23,0.0,0.017254699974246716
24,0.0,0.017512232809683236
25,0.0,0.01828483131599279
26,0.0,0.01931496265773886
27,0.0,0.020087561164048418
28,0.0,0.020345093999484934
29,0.0,0.02086015967035797
30,0.0,0.02240535668297708
31,0.0,0.022920422353850115
32,0.0,0.02369302086015967
33,0.0,0.026268349214524853
34,0.0,0.027040947720834405
35,0.0,0.02755601339170744
36,0.0,0.02910121040432655
37,0.0,0.03064640741694566
38,0.0,0.031161473087818695
39,0.0,0.03167653875869173
40,0.0,0.03219160442956477
41,0.0,0.032706670100437804
42,0.0,0.03296420293587433
43,0.0,0.03656966263198558
44,0.0,0.036827195467422094
45,0.0,0.037342261138295134
46,0.0,0.03940252382178728
47,0.0,0.03991758949266031
48,0.0,0.040175122328096835
49,0.0,0.04069018799896987
50,0.0,0.04197785217615246
51,0.0,0.04275045068246201
52,0.0,0.0440381148596446
53,0.0,0.04455318053051764
54,0.0,0.045583311872263714
55,0.0,0.04609837754313675
56,0.0,0.046613443214009787
57,0.0,0.04712850888488282
58,0.0,0.048416173062065415
59,0.0,0.04893123873293845
60,0.0,0.04918877156837497
61,0.0,0.050218902910121044
62,0.0,0.05047643574555756
63,0.0,0.05099150141643059
64,0.0,0.05150656708730363
65,0.0,0.052536698429049705
66,0.0,0.05330929693535926
67,0.0,0.053824362606232294
68,0.0,0.05639969096059748
69,0.0,0.05717228946690703
70,0.0,0.0582024208086531
71,0.0,0.059490084985835696
72,0.0,0.06052021632758177
73,0.0,0.062065413340200874
74,0.0,0.06309554468194695
75,0.0,0.06335307751738346
76,0.0,0.0638681431882565
77,0.0,0.06592840587174865
78,0.0,0.06644347154262169
79,0.0,0.06721607004893124
80,0.0,0.06773113571980427
81,0.0,0.06824620139067732
82,0.0,0.06901879989698687
83,0.0,0.07056399690960598
84,0.0,0.07107906258047901
85,0.0,0.07133659541591553
86,0.0,0.07210919392222509
87,0.0,0.0723667267576616
88,0.0,0.07339685809940767
89,0.0,0.07545712078289982
90,0.0,0.07597218645377285
91,0.0,0.07622971928920938
92,0.0,0.07674478496008241
93,0.0,0.07725985063095545
94,0.0,0.07880504764357456
95,0.0,0.07906258047901107
96,0.0,0.07957764614988411
97,0.0,0.08060777749163019
98,0.0,0.08112284316250322
99,0.0,0.08138037599793974
100,0.0,0.08241050733968582
101,0.0,0.08472830285861448
102,0.0,0.08627349987123359
103,0.0,0.0865310327066701
104,0.0,0.08704609837754314
105,0.0,0.08781869688385269
106,0.0,0.08833376255472573
107,0.0,0.08859129539016225
108,0.0,0.08910636106103528
109,0.0,0.09271182075714654
110,0.0,0.09322688642801957
111,0.0,0.09425701776976564
112,0.0,0.09477208344063869
113,0.0,0.09657481328869431
114,0.0,0.09760494463044038
115,0.0,0.0978624774658769
116,0.0,0.09837754313674994
117,0.0,0.10018027298480556
118,0.0,0.1006953386556786
119,0.0,0.10198300283286119
120,0.0,0.10249806850373423
121,0.0,0.1035281998454803
122,0.0,0.10507339685809941
123,0.0,0.10610352819984548
124,0.0,0.10661859387071852
125,0.0,0.10713365954159156
126,0.0,0.10739119237702807
127,0.0,0.1079062580479011
128,0.0,0.10816379088333762
129,0.0,0.10867885655421067
130,0.0,0.10945145506052022
131,0.0,0.11048158640226628
132,0.0,0.11254184908575843
133,0.0,0.11331444759206799
134,0.0,0.11382951326294102
135,0.0,0.11408704609837754
136,0.0,0.11460211176925057
137,0.0,0.1164048416173062
138,0.0,0.11717744012361576
139,0.0,0.1176925057944888
140,0.0,0.11795003862992531
141,0.0,0.11846510430079835
142,0.0,0.11872263713623488
143,0.0,0.11923770280710791
144,0.0,0.11975276847798094
145,0.0,0.12052536698429049
146,0.0,0.12258562966778264
147,0.0,0.12310069533865568
148,0.0,0.12490342518671131
149,0.0,0.1259335565284574
150,0.0,0.12799381921194952
151,0.0,0.12850888488282255
152,0.0,0.12876641771825909
153,0.0,0.12928148338913212
154,0.0,0.13159927890806078
155,0.0,0.1321143445789338
156,0.0,0.13288694308524338
157,0.0,0.1336595415915529
158,0.0,0.13391707442698944
159,0.0,0.134689672933299
160,0.0,0.1349472057687355
161,0.0,0.13546227143960854
162,0.0,0.1359773371104816
163,0.0,0.13649240278135463
164,0.0,0.13700746845222767
165,0.0,0.13803759979397373
166,0.0,0.13855266546484676
167,0.0,0.13932526397115633
168,0.0,0.14061292814833892
169,0.0,0.14138552665464846
170,0.0,0.14370332217357712
171,0.0,0.14447592067988668
172,0.0,0.14550605202163275
173,0.0,0.14602111769250578
174,0.0,0.14936904455318054
175,0.0,0.14988411022405357
176,0.0,0.15117177440123616
177,0.0,0.1516868400721092
178,0.0,0.1532320370847283
179,0.0,0.15374710275560133
180,0.0,0.15529229976822045
181,0.0,0.1558073654390935
182,0.0,0.15812516095802215
183,0.0,0.15864022662889518
184,0.0,0.15941282513520474
185,0.0,0.15992789080607778
186,0.0,0.16095802214782384
187,0.0,0.16147308781869688
188,0.0,0.16224568632500644
189,0.0,0.16276075199587947
190,0.0,0.16353335050218903
191,0.0,0.16404841617306207
192,0.0,0.16636621169199073
193,0.0,0.16688127736286376
194,0.0,0.1671388101983003
195,0.0,0.16765387586917332
196,0.0,0.16816894154004636
197,0.0,0.1686840072109194
198,0.0,0.17100180272984805
199,0.0,0.17151686840072108
200,0.0,0.17847025495750707
201,0.0,0.17898532062838013
202,0.0,0.17975791913468966
203,0.0,0.1802729848055627
